Date,JJ_2025,JG_2024,EI_2018,ZP_2020,BW_2019
1/1,0,0,0,97,68
1/2,0,0,0,99,73
1/3,0,43,0,112,73
1/4,0,53,26,118,73
1/5,52,53,26,119,85
1/6,64,53,26,134,96
1/7,64,62,37,134,104
1/8,77,87,50,134,109
1/9,89,102,50,134,119
1/10,94,104,69,134,126
1/11,94,131,69,134,131
1/12,112,142,70,137,136
1/13,125,142,99,137,138
1/14,126,149,99,137,138
1/15,126,150,101,137,138
1/16,126,150,102,137,138
1/17,126,155,114,137,138
1/18,126,162,117,143,138
1/19,126,162,117,146,141
1/20,126,162,117,146,146
1/21,126,162,117,146,150
1/22,134,162,121,147,151
1/23,136,162,121,147,153
1/24,141,162,122,147,154
1/25,145,167,124,149,154
1/26,155,167,124,151,157
1/27,161,167,124,151,161
1/28,162,167,124,151,161
1/29,162,167,132,151,161
1/30,166,167,133,151,161
1/31,168,167,143,151,162
2/1,168,167,144,152,162
2/2,168,167,146,154,163
2/3,169,168,146,154,163
2/4,169,168,150,154,163
2/5,170,170,152,154,164
2/6,170,171,153,154,166
2/7,170,171,157,154,166
2/8,170,173,159,155,166
2/9,174,173,159,155,166
2/10,174,175,160,156,166
2/11,174,175,161,156,166
2/12,175,175,162,156,169
2/13,175,177,164,156,169
2/14,175,177,164,156,169
2/15,175,177,165,160,169
2/16,179,179,166,165,169
2/17,181,179,167,167,170
2/18,181,180,168,167,170
2/19,181,180,171,167,170
2/20,181,180,173,167,170
2/21,181,180,176,167,170
2/22,181,181,176,169,170
2/23,182,181,176,170,170
2/24,186,181,176,170,173
2/25,186,181,177,170,173
2/26,187,182,177,171,173
2/27,190,182,178,172,174
2/28,191,182,180,172,176
3/1,193,182,181,172,180
3/2,196,183,181,172,181
3/3,197,183,181,172,182
3/4,198,188,183,172,182
3/5,198,188,184,172,182
3/6,198,188,185,175,183
3/7,198,188,187,175,183
3/8,199,188,188,175,183
3/9,199,188,188,175,185
3/10,200,189,188,175,185
3/11,200,190,189,175,185
3/12,200,190,189,175,185
3/13,200,191,191,175,185
3/14,200,191,191,175,186
3/15,201,191,191,175,186
3/16,201,191,191,175,186
3/17,201,191,192,184,186
3/18,201,191,192,186,187
3/19,201,191,192,187,188
3/20,201,191,192,187,188
3/21,201,193,193,187,188
3/22,201,193,195,187,188
3/23,201,193,195,188,188
3/24,201,193,195,189,190
3/25,201,193,195,189,190
3/26,201,195,195,189,190
3/27,201,195,196,190,190
3/28,201,197,196,190,190
3/29,202,197,198,190,190
3/30,202,197,198,191,190
3/31,203,199,198,191,190
4/1,203,199,200,191,191
4/2,205,199,200,191,191
4/3,205,199,202,191,194
4/4,206,199,202,192,194
4/5,207,200,202,193,195
4/6,207,200,203,194,197
4/7,209,200,203,195,197
4/8,209,201,208,195,197
4/9,209,201,209,198,197
4/10,209,202,211,200,197
4/11,209,202,211,200,197
4/12,211,206,212,200,198
4/13,213,206,214,201,200
4/14,213,206,219,204,204
4/15,213,211,222,207,204
4/16,217,211,223,209,204
4/17,217,212,223,214,204
4/18,221,215,224,215,204
4/19,221,215,225,215,207
4/20,222,215,225,216,209
4/21,223,216,226,216,209
4/22,223,221,226,217,210
4/23,223,222,226,217,210
4/24,,225,228,217,211
4/25,,225,228,217,214
4/26,,225,230,218,215
4/27,,225,230,219,216
4/28,,227,230,220,218
4/29,,229,231,220,221
4/30,,229,231,221,221
5/1,,229,231,221,221
5/2,,231,232,226,222
5/3,,233,233,226,224
5/4,,235,235,226,228
5/5,,235,235,226,229
5/6,,235,236,226,230
5/7,,235,239,226,230
5/8,,236,239,226,230
5/9,,240,239,226,230
5/10,,241,239,226,230
5/11,,241,239,226,230
5/12,,241,240,226,231
5/13,,242,240,226,231
5/14,,242,240,227,231
5/15,,242,240,227,231
5/16,,242,240,227,231
5/17,,242,240,227,232
5/18,,242,240,232,232
5/19,,242,240,232,233
5/20,,243,240,232,233
5/21,,243,242,232,233
5/22,,244,242,232,234
5/23,,244,242,235,234
5/24,,244,243,236,234
5/25,,244,244,236,234
5/26,,244,244,236,235
5/27,,245,244,237,235
5/28,,245,244,237,236
5/29,,245,245,237,236
5/30,,245,245,237,236
5/31,,245,245,238,237
6/1,,245,245,238,237
6/2,,245,245,238,240
6/3,,245,245,238,240
6/4,,245,245,238,241
6/5,,245,245,238,241
6/6,,245,245,238,241
6/7,,245,245,238,241
6/8,,246,245,238,241
6/9,,246,245,238,241
6/10,,246,245,238,241
6/11,,246,245,239,241
6/12,,247,245,239,241
6/13,,247,245,239,241
6/14,,247,245,239,241
6/15,,247,245,239,241
6/16,,247,245,239,241
6/17,,247,245,240,241
6/18,,247,245,240,241
6/19,,248,245,241,241
6/20,,248,245,241,241
6/21,,248,245,241,241
6/22,,248,245,241,241
6/23,,248,246,241,241
6/24,,248,246,241,241
6/25,,249,246,241,241
6/26,,249,247,241,241
6/27,,249,248,242,241
6/28,,249,248,242,241
6/29,,249,248,242,242
6/30,,249,248,242,243
7/1,,249,248,242,243
7/2,,249,248,242,243
7/3,,249,248,242,243
7/4,,249,248,242,243
7/5,,249,248,242,243
7/6,,249,248,242,243
7/7,,249,248,242,243
7/8,,249,248,242,243
7/9,,251,248,242,243
7/10,,251,248,242,243
7/11,,251,248,242,243
7/12,,251,248,243,243
7/13,,251,248,243,243
7/14,,251,248,243,243
7/15,,251,248,243,243
7/16,,251,248,243,243
7/17,,251,248,243,243
7/18,,251,248,243,243
7/19,,251,248,243,243
7/20,,251,248,243,243
7/21,,251,248,243,243
7/22,,251,248,243,243
7/23,,251,248,243,243
7/24,,251,248,243,243
7/25,,251,249,243,243
7/26,,251,249,243,243
7/27,,251,250,243,243
7/28,,252,250,243,243
7/29,,252,250,243,243
7/30,,252,250,243,243
7/31,,252,250,243,243
8/1,,252,250,243,243
8/2,,252,250,243,243
8/3,,252,250,243,243
8/4,,252,251,243,243
8/5,,253,251,243,243
8/6,,253,251,243,243
8/7,,253,251,243,243
8/8,,253,252,243,243
8/9,,253,252,243,243
8/10,,253,252,243,243
8/11,,253,252,244,243
8/12,,253,252,244,243
8/13,,253,252,244,243
8/14,,253,252,244,243
8/15,,253,252,244,243
8/16,,254,252,244,244
8/17,,254,252,244,244
8/18,,254,253,244,245
8/19,,254,253,244,245
8/20,,254,254,244,245
8/21,,254,254,244,245
8/22,,254,254,244,245
8/23,,254,255,244,245
8/24,,255,255,244,245
8/25,,255,255,244,245
8/26,,255,255,244,245
8/27,,255,255,244,245
8/28,,255,255,244,245
8/29,,255,255,244,245
8/30,,255,255,244,245
8/31,,255,256,244,245
9/1,,255,257,244,245
9/2,,255,257,244,245
9/3,,255,259,244,245
9/4,,256,259,245,245
9/5,,257,259,247,245
9/6,,257,259,247,245
9/7,,258,259,247,245
9/8,,259,259,247,245
9/9,,260,260,247,246
9/10,,260,260,247,246
9/11,,260,260,247,248
9/12,,261,260,248,248
9/13,,261,261,248,248
9/14,,261,261,250,248
9/15,,262,261,250,248
9/16,,262,261,250,249
9/17,,262,262,250,249
9/18,,264,262,250,249
9/19,,264,262,250,249
9/20,,264,262,250,249
9/21,,265,264,250,249
9/22,,265,264,250,249
9/23,,265,264,250,249
9/24,,265,264,250,249
9/25,,265,264,251,249
9/26,,265,264,251,249
9/27,,265,264,252,249
9/28,,265,264,252,251
9/29,,265,264,252,251
9/30,,265,264,252,251
10/1,,265,264,252,251
10/2,,265,264,252,251
10/3,,265,264,252,251
10/4,,265,264,252,251
10/5,,265,264,252,251
10/6,,265,264,252,251
10/7,,265,264,252,251
10/8,,265,264,252,251
10/9,,265,264,252,251
10/10,,265,264,253,251
10/11,,265,264,253,251
10/12,,265,264,253,251
10/13,,265,264,253,251
10/14,,266,264,253,251
10/15,,266,265,253,251
10/16,,267,265,253,251
10/17,,267,265,253,252
10/18,,267,265,254,252
10/19,,267,265,254,252
10/20,,267,267,255,252
10/21,,267,268,255,252
10/22,,267,270,255,252
10/23,,267,270,255,252
10/24,,267,270,256,252
10/25,,267,270,256,252
10/26,,268,270,256,252
10/27,,268,270,256,252
10/28,,268,270,256,253
10/29,,268,270,256,253
10/30,,268,270,256,253
10/31,,269,270,256,253
11/1,,269,270,256,253
11/2,,269,270,256,253
11/3,,269,270,256,253
11/4,,269,270,256,253
11/5,,269,270,256,253
11/6,,269,270,256,254
11/7,,269,270,256,254
11/8,,270,270,256,254
11/9,,270,270,256,255
11/10,,270,270,256,255
11/11,,270,270,256,255
11/12,,270,270,256,255
11/13,,270,270,256,255
11/14,,270,270,256,255
11/15,,270,270,256,255
11/16,,270,270,256,256
11/17,,270,270,256,256
11/18,,271,270,256,256
11/19,,271,271,256,256
11/20,,271,271,256,256
11/21,,271,271,256,257
11/22,,271,271,256,257
11/23,,271,271,257,257
11/24,,271,271,257,257
11/25,,271,271,258,257
11/26,,271,271,258,257
11/27,,271,271,258,257
11/28,,271,271,259,257
11/29,,271,271,260,257
11/30,,272,271,260,257
12/1,,272,271,260,257
12/2,,272,271,260,257
12/3,,272,271,260,257
12/4,,272,271,261,257
12/5,,272,271,261,257
12/6,,272,271,262,257
12/7,,272,271,262,257
12/8,,272,271,262,257
12/9,,272,271,262,257
12/10,,272,271,262,257
12/11,,272,271,262,258
12/12,,272,271,263,259
12/13,,272,271,263,259
12/14,,272,271,263,259
12/15,,272,271,263,259
12/16,,272,271,263,259
12/17,,272,271,263,259
12/18,,272,271,263,259
12/19,,272,271,263,259
12/20,,272,271,263,259
12/21,,272,271,263,259
12/22,,272,271,264,259
12/23,,272,271,264,259
12/24,,272,271,265,259
12/25,,272,271,265,259
12/26,,272,271,265,259
12/27,,273,271,265,259
12/28,,273,271,265,259
12/29,,273,271,265,259
12/30,,273,271,265,259
12/31,,274,272,265,259
